"Risk Factor","Legacy Risk Description","Rebuild Risk Description","Notes"
"PEP","if PEP is equal to true, then risk is HIGH","if PEP is equal to true, then risk is HIGH","Matches ticket sample verbatim; Legacy text is inferred from the ticket screenshot (not in source control) - confirm against dbo.DueDiligenceTriggerRiskRating"
"Sanctioned Jurisdiction Activities","if Affiliated Aactivities In Sanctioned Jurisdiction is equal to true, then risk is HIGH","if Affiliated Aactivities In Sanctioned Jurisdiction is equal to true, then risk is HIGH","Identical typo (""Aactivities"") appears in both the ticket sample and Rebuild's seed data - strong sign Rebuild's test data was copied from real Legacy content"
"Sensitive Activities","if Sensitive Activities is equal to Any, then risk is HIGH","if Sensitive Activities is equal to Any, then risk is HIGH","Matches ticket sample and Rebuild seed data exactly"
"Bearer Shares","Not in source control - Legacy field code IS_BEARER exists, description text unknown","if Issues Bearer Shares is equal to true, then risk is HIGH","Legacy has a matching field but no description text found in source; verify via DB query"
"Country of Birth","Not in source control - Legacy field code BIRTH_PLACE exists, no country-risk-specific phrasing found","Set Country Of Birth from CountryRisk table","Rebuild seed Condition #2"
"Country of Citizenship / Nationality","Not in source control - Legacy field code NATIONALITY exists, description text unknown","Set Country Of Citizenship from CountryRisk table","Rebuild seed Condition #3"
"Country of Incorporation","Not in source control - Legacy field code INCORPORATION_COUNTRY exists, description text unknown","Set Country Of Incorperation from CountryRisk table (sic - seed data typo)","Rebuild seed Condition #5"
"Country of Tax Residency","Not in source control - Legacy field code TAX_COUNTRY exists, description text unknown","Set Country Of Tax Residency from CountryRisk table","Rebuild seed Condition #6"
"Country of Funds Raised","Not in source control - Legacy field code PRIMARY_FUNDS_RAISED exists, description text unknown","Set Country Of Funds Raised from CountryRisk table","Rebuild seed Condition #7"
"Country of Funds Distributed","Not in source control - Legacy field code PRIMARY_FUNDS_DISBURSED exists, description text unknown","Set Country Of Funds Distributed from CountryRisk table","Rebuild seed Condition #8"
"State-Owned Corporation Executive","Not in source control - Legacy field code IS_STATE_OWNED exists, description text unknown","No matching condition in Rebuild's current seed data","Gap - present in Legacy's field inventory, not represented in Rebuild yet"
"World-Check PEP Match","Not in source control - Legacy field code IS_WORLD_CHECK_PEP exists, description text unknown","No matching condition in Rebuild's current seed data","Gap"
"World-Check Sanctions Match","Not in source control - Legacy field code IS_WORLD_CHECK_SANCTIONS exists, description text unknown","No matching condition in Rebuild's current seed data","Gap"
"World-Check Law Enforcement Match","Not in source control - Legacy field code IS_WORLD_CHECK_LAW_ENFORCEMENT exists, description text unknown","No matching condition in Rebuild's current seed data","Gap"
"Renounced US Citizenship","Not in source control - Legacy field code IS_RENOUNCED_US exists, description text unknown","No matching condition in Rebuild's current seed data","Gap"
